ParameterTypeID	ParameterTypeCategoryID
2	3
3	3
4	3
5	3
6	3
7	3
8	3
9	3
1125	5
1126	5
1127	5
1128	5
1129	5
1130	5
1131	5
1132	5
1133	5
1134	5
1135	5
1136	5
1137	5
1138	5
1139	5
1140	5
1141	5
1142	5
1143	5
1144	5
1145	5
1146	5
1147	5
1148	5
1149	5
1150	5
1163	5
1164	5
1165	5
1166	5
1167	5
1168	5
942	26
943	26
944	26
945	26
946	26
947	26
948	26
949	26
950	26
951	26
952	26
953	26
954	26
955	26
956	26
957	26
958	26
959	26
960	26
961	26
962	26
963	26
964	26
965	26
966	26
967	26
968	26
969	26
970	26
971	26
972	26
973	26
974	26
975	26
976	26
977	26
978	26
979	26
980	26
981	26
982	26
983	26
984	26
985	26
986	26
987	26
988	26
989	26
990	26
991	26
992	26
993	26
994	26
995	26
996	26
997	26
998	26
999	26
1000	26
1001	26
1002	26
1003	26
1004	26
1005	26
1006	26
1007	26
1008	26
1009	26
1010	26
1011	26
1012	26
1013	26
1014	26
1015	26
1016	26
1017	26
1018	26
1019	26
1020	26
1021	26
1022	26
1023	26
1024	26
1025	26
1026	26
1027	26
1028	26
1029	26
1030	26
1031	26
1032	26
1033	26
1034	26
1035	26
1036	26
1037	26
1038	26
1039	26
1040	26
1041	26
1042	26
1043	26
1044	26
1045	26
1046	27
1047	27
1048	27
1049	27
1050	27
1051	27
1052	27
1053	27
1054	27
1055	27
1056	27
1057	27
1058	27
1059	27
1060	27
1061	27
1062	27
1063	27
1064	27
1065	27
1066	27
1067	27
1068	27
1069	27
1070	27
1071	27
1072	28
1073	28
1074	28
1075	28
1076	28
1077	28
1078	28
1079	28
1080	28
1081	28
1082	28
1083	28
1084	28
1085	28
1086	28
1087	28
1088	28
1089	28
1090	28
1091	28
1092	28
1093	29
1094	29
1095	29
1096	29
1097	29
1098	29
1099	29
1100	29
1101	29
1102	29
1103	29
1104	29
1105	29
1106	30
1107	30
1108	30
1109	30
1110	30
1111	30
1112	30
1113	30
1114	30
1115	30
1116	30
1117	30
1118	30
1119	30
1120	30
1121	30
1122	30
1123	30
1124	30
